id;competitor;region;published_at;media_name;url;title;text;category;priority;tonality;department;action;comment;reject
12;СтратоЛогика;Ростов-на-Дону;2026-06-13;Право.ру;https://pravo.ru/news/stratologika-vypustila-otkrytyi-otchet-12;«СтратоЛогика» выпустила открытый отчёт о трендах рынка генеративных моделей;Аналитический отдел компании «СтратоЛогика» опубликовал исследование с прогнозом развития рынка генеративных ИИ-решений на ближайшие три года. Отчёт включает данные опроса нескольких сотен ИТ-директоров и обзор регуляторных инициатив. Материал получил цитирование в нескольких деловых изданиях и профильных дайджестах. Компания планирует сделать публикацию подобных отчётов регулярной практикой.;PR-активность конкурента;p3;positive;PR;;Публикация отраслевого отчёта укрепляет экспертный имидж;
13;Праймтех;Челябинск;2026-06-14;РИА Новости;https://ria.ru/news/praimteh-zapustila-obrazovatelnuyu-programmu-13;«Праймтех» запустила образовательную программу для разработчиков;Компания «Праймтех» объявила о старте бесплатного образовательного курса по разработке ИИ-агентов для сотрудников небольших ИТ-компаний и студентов профильных вузов. Первый поток набрал более пятисот заявок за первую неделю регистрации. Программа включает практические задания на реальных кейсах компании и сертификат по итогам обучения. Инициативу поддержали несколько отраслевых образовательных платформ, разместивших анонс на своих ресурсах.;PR-активность конкурента;p3;positive;PR;;Работа конкурента с кадровым резервом вузов;
14;Вертикаль ИИ;Воронеж;2026-06-15;Известия;https://iz.ru/news/vertikal-ii-stala-generalnym-14;«Вертикаль ИИ» стала генеральным спонсором отраслевой премии;Компания «Вертикаль ИИ» выступила генеральным спонсором ежегодной премии в области искусственного интеллекта, вручаемой на крупном отраслевом форуме. В рамках спонсорского пакета компания разместила стенд с демонстрацией продуктов и провела серию коротких докладов для участников. Организаторы отметили вклад компании в развитие мероприятия в официальном пресс-релизе. Логотип «Вертикаль ИИ» появился на всех промо-материалах премии этого года.;PR-активность конкурента;p3;positive;PR;;Имиджевое генеральное спонсорство отраслевой премии;
15;Синтеза Групп;Владивосток;2026-06-16;РБК;https://www.rbc.ru/news/krupnyi-sboi-platformy-sinteza-15;Крупный сбой платформы «Синтеза Групп» оставил клиентов без сервиса на сутки;Платформа автоматизации маркетинга «Синтеза Групп» столкнулась с масштабным сбоем инфраструктуры, из-за которого клиенты более суток не могли получить доступ к личным кабинетам. В компании сообщили, что причиной стала ошибка при обновлении балансировщика нагрузки на основном дата-центре. Несколько крупных клиентов публично пожаловались на простой в социальных сетях и потребовали компенсацию. Полное восстановление сервиса заняло больше 30 часов.;системная проблема (возможность для входа);p2;negative;Аналитика;Подготовить предложение по миграции с гарантией доступности в SLA;Суточный сбой инфраструктуры, клиенты требуют компенсацию;
16;Октагон Дата;Москва;2026-06-17;Коммерсантъ;https://www.kommersant.ru/news/massovyi-uhod-razrabotchikov-iz-16;Массовый уход разработчиков из «Октагон Дата» в конкурирующую компанию;По данным профильных телеграм-каналов, из инженерной команды сервиса аналитики «Октагон Дата» за последний месяц уволились более десяти специалистов, включая двух тимлидов. Источники связывают уход сотрудников с задержками выплаты премий и заморозкой части проектов. Часть команды, по имеющимся сведениям, перешла в один и тот же конкурирующий продукт. Компания официально не комментирует кадровые изменения.;системная проблема (возможность для входа);p2;negative;Аналитика;Оценить возможность точечного найма высвобождающихся специалистов;Массовый уход инженеров, включая двух тимлидов — задел для хантинга;
17;ДиалогПро;Санкт-Петербург;2026-06-18;Ведомости;https://www.vedomosti.ru/news/reliz-flagmanskogo-produkta-dialogpro-17;Релиз флагманского продукта «ДиалогПро» отложен на полгода;Компания «ДиалогПро» сообщила клиентам о переносе выхода новой версии платформы для автоматизации колл-центров с весны на осень. В официальном письме причиной названы «дополнительные требования к тестированию безопасности». Несколько крупных клиентов в переписке с партнёрами заявили, что уже рассматривают альтернативные решения на время ожидания. Задержка стала второй за последний год для этого продукта.;системная проблема (возможность для входа);p2;negative;Аналитика;Предложить клиентам конкурента промежуточное решение на время задержки;Повторная задержка релиза — вторая за год;
18;Инсайт Диджитал;Новосибирск;2026-06-19;Интерфакс;https://www.interfax.ru/news/povyshenie-cen-insait-didzhital-18;Повышение цен «Инсайт Диджитал» вызвало отток клиентов среднего бизнеса;После объявления о повышении тарифов на 40% часть клиентов платформы бизнес-аналитики «Инсайт Диджитал» из сегмента среднего бизнеса заявила об отказе от продления подписки. В профильных чатах пользователи обсуждают переход на более доступные альтернативы с похожим функционалом. Компания объяснила рост цен увеличением затрат на вычислительные мощности. Часть клиентов попросила отсрочку перехода на новые условия до конца квартала.;системная проблема (возможность для входа);p2;negative;Аналитика;Подготовить миграционное предложение недовольным повышением цен;Резкое повышение тарифов — задел для переманивания клиентов;
19;ПиксельВерсум;Екатеринбург;2026-06-20;TAdviser;https://www.tadviser.ru/news/ochered-obraschenii-v-podderzhku-19;Очередь обращений в поддержку «ПиксельВерсум» выросла до недели ожидания;Пользователи сервиса генерации визуального контента «ПиксельВерсум» жалуются на резкое увеличение времени ответа службы поддержки — по их словам, среднее время ожидания выросло до семи дней. В компании подтвердили рост числа обращений после запуска новой функции и сообщили о найме дополнительных специалистов поддержки. Часть пользователей уже перешла на использование альтернативных сервисов для срочных задач. Ситуация обсуждается в нескольких профильных сообществах дизайнеров.;системная проблема (возможность для входа);p2;negative;Аналитика;Выйти к недовольным клиентам с предложением ускоренной поддержки;Очередь в поддержку выросла до недели ожидания;
20;Кодариум;Казань;2026-06-21;CNews;https://www.cnews.ru/news/kodarium-pobedil-v-otraslevom-20;«Кодариум» победил в отраслевом рейтинге по точности распознавания речи;Независимая исследовательская лаборатория опубликовала результаты сравнительного тестирования систем распознавания речи, в котором решение «Кодариум» показало лучший результат среди отечественных разработчиков. Тестирование проводилось на выборке из нескольких тысяч аудиозаписей с разным качеством звука и диалектными особенностями. Результаты рейтинга уже цитируются в нескольких профильных изданиях. Компания назвала победу подтверждением многолетних инвестиций в качество моделей.;признание качества и конкурсы;p2;positive;Маркетинг;Сравнить нашу модель по той же независимой методике;Лидерство в отраслевом рейтинге распознавания речи;
21;МодельОн;Нижний Новгород;2026-06-22;Хабр;https://habr.com/news/modelon-poluchila-sertifikat-sootvetstviya-21;«МодельОн» получила сертификат соответствия международному стандарту качества данных;Компания «МодельОн» подтвердила соответствие своих процессов работы с данными международному стандарту качества, пройдя независимый аудит. Сертификация охватывает процессы сбора, разметки и хранения данных, используемых для обучения моделей. В компании отметили, что сертификат упростит переговоры с зарубежными партнёрами. Аудит проводился в течение трёх месяцев профильной сертифицирующей организацией.;признание качества и конкурсы;p3;positive;Маркетинг;;Международная сертификация процессов работы с данными;
22;СемантикХаб;Самара;2026-06-23;vc.ru;https://vc.ru/news/semantikhab-vyigral-tender-na-22;«СемантикХаб» выиграл тендер на автоматизацию госуслуг в регионе;По итогам открытого конкурса компания «СемантикХаб» получила контракт на внедрение системы автоматической обработки обращений граждан в одном из региональных правительств. Проект предполагает интеграцию с существующими государственными информационными системами в течение года. Тендерная комиссия отметила в протоколе наиболее проработанную техническую часть заявки среди участников. Сумма контракта не раскрывается.;признание качества и конкурсы;p2;positive;Маркетинг;Изучить выигрышную заявку конкурента для будущих тендеров;Победа в госконтракте на автоматизацию обращений граждан;
23;Вертикаль ИИ;Томск;2026-06-24;Forbes;https://www.forbes.ru/news/vertikal-ii-zanyala-pervoe-23;«Вертикаль ИИ» заняла первое место в бенчмарке по скорости инференса;На независимом бенчмарке производительности моделей машинного обучения решение «Вертикаль ИИ» показало лучшее время отклика среди протестированных отечественных платформ. Тестирование проводилось на стандартизированном наборе задач с фиксированной вычислительной конфигурацией. Организаторы бенчмарка опубликовали полную методологию и исходные данные теста. Компания отметила результат как подтверждение эффективности собственной архитектуры инференса.;признание качества и конкурсы;p2;positive;Маркетинг;Сравнить показатели инференса с нашей моделью;Лидерство в независимом бенчмарке скорости;
24;ГенерацияПлюс;Иннополис;2026-06-25;ComNews;https://www.comnews.ru/news/generaciyaplyus-poluchila-premiyu-luchshii-24;«ГенерацияПлюс» получила премию «Лучший продукт года» в номинации ИИ для бизнеса;На ежегодной отраслевой премии продукт компании «ГенерацияПлюс» для автоматизации подбора персонала был признан лучшим в номинации «ИИ для бизнеса». Жюри отметило удобство интеграции решения с существующими HR-системами и качество объяснимости рекомендаций модели. Награждение прошло в рамках крупной технологической конференции. Представители компании назвали премию признанием работы всей продуктовой команды.;признание качества и конкурсы;p2;positive;Маркетинг;Изучить критерии жюри для будущих номинаций;Победа в отраслевой премии для HR-AI продукта;
25;Смартфактор;Красноярск;2026-06-26;D-Russia;https://d-russia.ru/news/obzor-rynka-ii-reshenii-25;Обзор рынка ИИ-решений упомянул «Смартфактор» в общем списке игроков;В аналитическом обзоре состояния рынка автоматизации контакт-центров компания «Смартфактор» упоминается в перечне из десяти представленных на рынке решений без отдельного комментария или оценки. Основное внимание материала уделено общим трендам отрасли и прогнозам роста сегмента. Упоминание ограничивается одной строкой в сравнительной таблице поставщиков. Отдельных заявлений от компании по поводу публикации не поступало.;косвенное упоминание;p3;neutral;Аналитика;;Общее упоминание в обзоре рынка без деталей;
26;ЛогикАрхив;;2026-06-27;Rusbase;https://rb.ru/news/issledovanie-konsaltingovoi-kompanii-procitirovalo-26;Исследование консалтинговой компании процитировало комментарий представителя «ЛогикАрхив»;В отраслевом исследовании о перспективах работы с большими языковыми моделями представитель компании «ЛогикАрхив» дал общий комментарий о трендах локализации моделей под отраслевую специфику. Цитата занимает один абзац в объёмном материале, посвящённом рынку в целом. Никаких данных о собственных продуктах или показателях компании в цитате не приводится. Публикация вышла в рамках регулярной аналитической рассылки консалтинговой фирмы.;косвенное упоминание;p3;neutral;Аналитика;;Краткая цитата представителя в отраслевом исследовании;
27;НейроСфера;Уфа;2026-06-28;Право.ру;https://pravo.ru/news/neirosfera-upomyanuta-v-sravnitelnoi-27;«НейроСфера» упомянута в сравнительной таблице поставщиков для ритейла;В обзорной статье о поставщиках ИИ-решений для розничной торговли компания «НейроСфера» указана как один из вариантов для сегмента прогнозирования спроса. Таблица содержит краткие технические характеристики без оценки качества или отзывов клиентов. Статья ориентирована на общее знакомство читателя с категорией решений, а не на анализ конкретных поставщиков. Других упоминаний компании в тексте статьи нет.;косвенное упоминание;p3;neutral;Аналитика;;Техническая таблица поставщиков без оценки качества;
28;Октагон Дата;Ростов-на-Дону;2026-06-01;РИА Новости;https://ria.ru/news/oktagon-data-upomyanuta-sredi-28;«Октагон Дата» упомянута среди участников рабочей группы по стандартизации;В отчёте отраслевой ассоциации о ходе работы над стандартами обмена данными между ИИ-системами компания «Октагон Дата» перечислена в списке участников профильной рабочей группы. Отчёт описывает общий прогресс по разработке стандарта, не детализируя вклад отдельных участников. Список из пятнадцати компаний приведён в приложении к документу. Отдельной позиции или комментария от «Октагон Дата» отчёт не содержит.;косвенное упоминание;p3;neutral;Аналитика;;Формальное участие в отраслевой рабочей группе по стандартам;
29;Праймтех;Челябинск;2026-06-02;Известия;https://iz.ru/news/predstavitel-praimteh-vystupil-v-29;Представитель «Праймтех» выступил в числе спикеров отраслевой конференции;В новостной заметке об итогах прошедшей конференции по автоматизации бизнес-процессов упоминается выступление представителя «Праймтех» в общем списке из двадцати спикеров секции. Заметка кратко перечисляет темы докладов без подробного пересказа содержания. Основное внимание материала уделено общей статистике посещаемости мероприятия. Отдельного упоминания продуктов или достижений компании в тексте нет.;косвенное упоминание;p3;neutral;Аналитика;;Упоминание в общем списке спикеров секции конференции;
30;Кодариум;Воронеж;2026-06-03;РБК;https://www.rbc.ru/news/kodarium-pereehala-v-novyi-30;«Кодариум» переехала в новый офис в деловом квартале;Компания «Кодариум» сообщила о переезде московского офиса в новый бизнес-центр с более просторными переговорными и зоной отдыха для сотрудников. В корпоративном блоге опубликована фотоподборка с открытия пространства. Переезд не связан с изменением численности штата или структуры компании. Новый адрес офиса уже обновлён на сайте компании.;информационный шум;p3;neutral;Аналитика;;Переезд офиса, не связан с бизнес-показателями;
31;МодельОн;Владивосток;2026-06-04;Коммерсантъ;https://www.kommersant.ru/news/modelon-provela-tradicionnyi-korporativnyi-31;«МодельОн» провела традиционный корпоративный хакатон для сотрудников;В минувшие выходные компания «МодельОн» организовала внутренний хакатон, участники которого за два дня разрабатывали прототипы внутренних инструментов для собственных нужд команды. Мероприятие проходит третий год подряд и не связано с внешними продуктами компании. Победители получили символические призы и упоминание во внутренней рассылке. Итоги хакатона не публиковались за пределами компании.;информационный шум;p3;neutral;Аналитика;;Внутреннее мероприятие без внешнего эффекта;
32;Синтеза Групп;Москва;2026-06-05;Ведомости;https://www.vedomosti.ru/news/sotrudniki-sinteza-grupp-prinyali-32;Сотрудники «Синтеза Групп» приняли участие в корпоративном забеге;Команда компании «Синтеза Групп» выступила на городском благотворительном забеге в честь начала лета, собрав небольшую сумму пожертвований для местного приюта для животных. Фотографии с мероприятия появились в корпоративных социальных сетях компании. Участие в забеге является ежегодной традицией для команды. Событие не имеет отношения к продуктам или бизнес-показателям компании.;информационный шум;p3;neutral;Аналитика;;Благотворительное мероприятие, не влияет на бизнес;
33;Октагон Дата;Санкт-Петербург;2026-06-06;Интерфакс;https://www.interfax.ru/news/oblako-tarakan-vtornik-algoritm-33;облако таракан вторник алгоритм фиолетовый суп;чашка бежит квадратный вторник дождь алгоритм три пуговицы небо шкаф громко сервер варенье вторая пятница облако несёт стул мимо озера тихо квант жёлтый вторник пуговица бежит сервер дождь три чашки алгоритм.;информационный шум;p3;irrelevant;Аналитика;;Бессвязный текст без смысловой нагрузки;
34;Праймтех;Новосибирск;2026-06-07;TAdviser;https://www.tadviser.ru/news/pyatnica-shkaf-dozhd-tri-34;пятница шкаф дождь три квадрат;сервер несёт бежит облако пуговица вторник алгоритм тихо квант жёлтый суп таракан фиолетовый громко озеро стул варенье мимо небо три чашки дождь вторник алгоритм пятница шкаф квадрат несёт бежит.;информационный шум;p3;irrelevant;Аналитика;;Бессвязный текст без смысловой нагрузки;
35;КвантумСофт;Екатеринбург;2026-06-08;CNews;https://www.cnews.ru/news/roskomnadzor-oshtrafoval-kvantumsoft-na-35;Роскомнадзор оштрафовал «КвантумСофт» на 2 млн рублей за утечку персональных данных;Ведомство завершило проверку по факту инцидента в облачном сервисе компании «КвантумСофт». Установлено, что из-за некорректной настройки S3-бакета в открытом доступе оказались сканы паспортов 15 тыс. пользователей. Сумма штрафа назначена по ч. 1 ст. 13.11 КоАП РФ. Представители «КвантумСофт» заявили о намерении обжаловать решение, ссылаясь на оперативное устранение уязвимости в течение трёх часов.;надзорная санкция и юридический риск;p1;negative;Юристы;Проверить настройки облачных хранилищ на аналогичные утечки конфигурации;Штраф РКН за утечку паспортов через незащищённый S3-бакет;
36;НейроТех;Казань;2026-06-09;Хабр;https://habr.com/news/protiv-neiroteha-podan-kollektivnyi-36;Против «НейроТеха» подан коллективный иск из-за нелицензионного использования синтетических голосов;Группа актёров дубляжа подала иск в Пресненский суд Москвы к разработчику голосовых ассистентов «НейроТех». Истцы утверждают, что компания использовала записи их голосов для обучения TTS-модели без заключения лицензионных договоров. Сумма требований превышает 50 млн рублей. Юристы прогнозируют, что разбирательство может создать прецедент для рынка синтеза речи и привести к пересмотру регуляторных норм в сфере ИИ.;надзорная санкция и юридический риск;p1;negative;Юристы;Проверить лицензионную чистоту используемых голосовых данных;Коллективный иск на 50+ млн руб. за синтез голосов без лицензии;
37;АйТиГрад;Нижний Новгород;2026-06-10;vc.ru;https://vc.ru/news/fns-zablokirovala-scheta-aitigrad-37;ФНС заблокировала счета «АйТиГрад» из-за подозрений в дроблении бизнеса при разработке ML-платформы;Инспекция выявила схему с вовлечением трёх аффилированных ИП, оказывавших услуги по разметке данных для проектов «АйТиГрад». Общая сумма доначислений, включая НДС и налог на прибыль, составила 120 млн рублей. Счета компании заморожены, что ставит под угрозу выполнение действующих госконтрактов на внедрение систем предиктивной аналитики.;надзорная санкция и юридический риск;p1;negative;Юристы;Оценить риск для аналогичных наших госконтрактов;Блокировка счетов ФНС ставит под угрозу госконтракты;
38;КодБезопасности;Самара;2026-06-11;Forbes;https://www.forbes.ru/news/es-vklyuchil-kodbezopasnosti-v-38;ЕС включил «КодБезопасности» в 13-й пакет санкций, запретив поставки GPU для тренировки LLM;Компания «КодБезопасности», известная своим корпоративным NLP-фреймворком, попала под экспортные ограничения Евросоюза. Санкции касаются прямых и опосредованных поставок ускорителей вычислений Nvidia A100 и H100. В пресс-службе заявили, что сформировали складской запас, однако долгосрочное развитие флагманских моделей класса 100B+ параметров оказалось под вопросом.;надзорная санкция и юридический риск;p1;negative;Юристы;Оценить риски аналогичных экспортных ограничений для нашей инфраструктуры;Санкции ЕС ограничили поставки GPU для тренировки LLM;
39;Цифровой Прорыв;Томск;2026-06-12;ComNews;https://www.comnews.ru/news/sud-priznal-patent-cifrovogo-39;Суд признал патент «Цифрового Прорыва» на метод векторного поиска недействительным по иску сообщества Open Source;Палата по патентным спорам удовлетворила возражение АНО «Открытый код» против патента № 2812345, принадлежащего «Цифровому Прорыву». Заявители доказали, что описанный метод поиска ближайших соседей с гибридной квантизацией был ранее раскрыт в публичном репозитории FAISS. «Цифровой Прорыв» теряет исключительные права и не может требовать роялти с участников рынка.;надзорная санкция и юридический риск;p2;negative;Юристы;Проверить патентную чистоту схожих собственных решений;Патент аннулирован по иску сообщества Open Source;
40;ИнтеллектПлатформа;Иннополис;2026-06-13;D-Russia;https://d-russia.ru/news/sliv-vnutrennego-chata-razrabotchiki-40;Слив внутреннего чата: разработчики «ИнтеллектПлатформы» обсуждают, что модель «запоминает» диалоги клиентов;В Telegram-каналах распространились скриншоты корпоративного Slack-чата «ИнтеллектПлатформы». В переписке старший инженер признаёт, что механизм кэширования промптов в продакшене приводит к непреднамеренному смешиванию контекстных окон разных сессий. Пользователи соцсетей обвинили компанию в нарушении конфиденциальности. Акции материнского холдинга снизились на 4,3% на открытии торгов.;репутационный риск;p1;negative;PR;Подготовить публичную позицию по нашей изоляции контекста между сессиями;Утечка переписки об ошибке смешения сессий, акции упали;
41;ЛингвоБот;Красноярск;2026-06-14;Rusbase;https://rb.ru/news/lingvobot-otklyuchil-russkoyazychnogo-assistenta-41;«ЛингвоБот» отключил русскоязычного ассистента после волны жалоб на токсичные ответы о ветеранах;Пользователи маркетплейса Wildberries массово пожаловались на диалогового агента «ЛингвоБот Ева». Чат-бот в нештатном режиме начал генерировать оскорбительные высказывания в адрес исторических личностей при запросе о праздновании 9 Мая. Компания принесла извинения, объяснив сбой «галлюцинацией модели при применении LoRA-адаптеров». Инцидентом заинтересовался Комитет Госдумы по информационной политике.;репутационный риск;p1;negative;PR;Проверить гардрейлы на исторические и политические темы;Скандал с оскорбительными ответами, внимание Госдумы;
42;АвтоМЛ;Пермь;2026-06-15;Право.ру;https://pravo.ru/news/reiting-rabotodatelei-avtoml-pokinuli-42;Рейтинг работодателей: «АвтоМЛ» покинули 30% ML-инженеров за квартал из-за токсичного менеджмента;Аналитический портал «Хабр Карьера» опубликовал данные по текучести кадров в ИТ-секторе. Антилидером стала компания «АвтоМЛ»: уровень eNPS достиг минус 45 пунктов. Бывшие сотрудники в анонимных интервью указывают на неоплачиваемые переработки при запуске системы беспилотного вождения и публичное обесценивание результатов R&D-команды. HR-директор пока не комментирует ситуацию.;репутационный риск;p2;negative;PR;Рассмотреть точечный найм высвобождающихся специалистов;Высокая текучесть кадров, токсичный менеджмент;
