id;заголовок;текст новости;категория новости
18;Релиз флагманского продукта «ДиалогПро» отложен на полгода;Компания «ДиалогПро» сообщила клиентам о переносе выхода новой версии платформы для автоматизации колл-центров с весны на осень. В официальном письме причиной названы «дополнительные требования к тестированию безопасности». Несколько крупных клиентов в переписке с партнёрами заявили, что уже рассматривают альтернативные решения на время ожидания. Задержка стала второй за последний год для этого продукта.;системная проблема (возможность для входа)
19;Повышение цен «Инсайт Диджитал» вызвало отток клиентов среднего бизнеса;После объявления о повышении тарифов на 40% часть клиентов платформы бизнес-аналитики «Инсайт Диджитал» из сегмента среднего бизнеса заявила об отказе от продления подписки. В профильных чатах пользователи обсуждают переход на более доступные альтернативы с похожим функционалом. Компания объяснила рост цен увеличением затрат на вычислительные мощности. Часть клиентов попросила отсрочку перехода на новые условия до конца квартала.;системная проблема (возможность для входа)
20;Очередь обращений в поддержку «ПиксельВерсум» выросла до недели ожидания;Пользователи сервиса генерации визуального контента «ПиксельВерсум» жалуются на резкое увеличение времени ответа службы поддержки — по их словам, среднее время ожидания выросло до семи дней. В компании подтвердили рост числа обращений после запуска новой функции и сообщили о найме дополнительных специалистов поддержки. Часть пользователей уже перешла на использование альтернативных сервисов для срочных задач. Ситуация обсуждается в нескольких профильных сообществах дизайнеров.;системная проблема (возможность для входа)
21;«Кодариум» победил в отраслевом рейтинге по точности распознавания речи;Независимая исследовательская лаборатория опубликовала результаты сравнительного тестирования систем распознавания речи, в котором решение «Кодариум» показало лучший результат среди отечественных разработчиков. Тестирование проводилось на выборке из нескольких тысяч аудиозаписей с разным качеством звука и диалектными особенностями. Результаты рейтинга уже цитируются в нескольких профильных изданиях. Компания назвала победу подтверждением многолетних инвестиций в качество моделей.;признание качества и конкурсы
22;«МодельОн» получила сертификат соответствия международному стандарту качества данных;Компания «МодельОн» подтвердила соответствие своих процессов работы с данными международному стандарту качества, пройдя независимый аудит. Сертификация охватывает процессы сбора, разметки и хранения данных, используемых для обучения моделей. В компании отметили, что сертификат упростит переговоры с зарубежными партнёрами. Аудит проводился в течение трёх месяцев профильной сертифицирующей организацией.;признание качества и конкурсы
23;«СемантикХаб» выиграл тендер на автоматизацию госуслуг в регионе;По итогам открытого конкурса компания «СемантикХаб» получила контракт на внедрение системы автоматической обработки обращений граждан в одном из региональных правительств. Проект предполагает интеграцию с существующими государственными информационными системами в течение года. Тендерная комиссия отметила в протоколе наиболее проработанную техническую часть заявки среди участников. Сумма контракта не раскрывается.;признание качества и конкурсы
24;«Вертикаль ИИ» заняла первое место в бенчмарке по скорости инференса;На независимом бенчмарке производительности моделей машинного обучения решение «Вертикаль ИИ» показало лучшее время отклика среди протестированных отечественных платформ. Тестирование проводилось на стандартизированном наборе задач с фиксированной вычислительной конфигурацией. Организаторы бенчмарка опубликовали полную методологию и исходные данные теста. Компания отметила результат как подтверждение эффективности собственной архитектуры инференса.;признание качества и конкурсы
25;«ГенерацияПлюс» получила премию «Лучший продукт года» в номинации ИИ для бизнеса;На ежегодной отраслевой премии продукт компании «ГенерацияПлюс» для автоматизации подбора персонала был признан лучшим в номинации «ИИ для бизнеса». Жюри отметило удобство интеграции решения с существующими HR-системами и качество объяснимости рекомендаций модели. Награждение прошло в рамках крупной технологической конференции. Представители компании назвали премию признанием работы всей продуктовой команды.;признание качества и конкурсы
26;Обзор рынка ИИ-решений упомянул «Смартфактор» в общем списке игроков;В аналитическом обзоре состояния рынка автоматизации контакт-центров компания «Смартфактор» упоминается в перечне из десяти представленных на рынке решений без отдельного комментария или оценки. Основное внимание материала уделено общим трендам отрасли и прогнозам роста сегмента. Упоминание ограничивается одной строкой в сравнительной таблице поставщиков. Отдельных заявлений от компании по поводу публикации не поступало.;косвенное упоминание
27;Исследование консалтинговой компании процитировало комментарий представителя «ЛогикАрхив»;В отраслевом исследовании о перспективах работы с большими языковыми моделями представитель компании «ЛогикАрхив» дал общий комментарий о трендах локализации моделей под отраслевую специфику. Цитата занимает один абзац в объёмном материале, посвящённом рынку в целом. Никаких данных о собственных продуктах или показателях компании в цитате не приводится. Публикация вышла в рамках регулярной аналитической рассылки консалтинговой фирмы.;косвенное упоминание
28;«НейроСфера» упомянута в сравнительной таблице поставщиков для ритейла;В обзорной статье о поставщиках ИИ-решений для розничной торговли компания «НейроСфера» указана как один из вариантов для сегмента прогнозирования спроса. Таблица содержит краткие технические характеристики без оценки качества или отзывов клиентов. Статья ориентирована на общее знакомство читателя с категорией решений, а не на анализ конкретных поставщиков. Других упоминаний компании в тексте статьи нет.;косвенное упоминание
29;«Октагон Дата» упомянута среди участников рабочей группы по стандартизации;В отчёте отраслевой ассоциации о ходе работы над стандартами обмена данными между ИИ-системами компания «Октагон Дата» перечислена в списке участников профильной рабочей группы. Отчёт описывает общий прогресс по разработке стандарта, не детализируя вклад отдельных участников. Список из пятнадцати компаний приведён в приложении к документу. Отдельной позиции или комментария от «Октагон Дата» отчёт не содержит.;косвенное упоминание
30;Представитель «Праймтех» выступил в числе спикеров отраслевой конференции;В новостной заметке об итогах прошедшей конференции по автоматизации бизнес-процессов упоминается выступление представителя «Праймтех» в общем списке из двадцати спикеров секции. Заметка кратко перечисляет темы докладов без подробного пересказа содержания. Основное внимание материала уделено общей статистике посещаемости мероприятия. Отдельного упоминания продуктов или достижений компании в тексте нет.;косвенное упоминание
31;«Кодариум» переехала в новый офис в деловом квартале;Компания «Кодариум» сообщила о переезде московского офиса в новый бизнес-центр с более просторными переговорными и зоной отдыха для сотрудников. В корпоративном блоге опубликована фотоподборка с открытия пространства. Переезд не связан с изменением численности штата или структуры компании. Новый адрес офиса уже обновлён на сайте компании.;информационный шум
32;«МодельОн» провела традиционный корпоративный хакатон для сотрудников;В минувшие выходные компания «МодельОн» организовала внутренний хакатон, участники которого за два дня разрабатывали прототипы внутренних инструментов для собственных нужд команды. Мероприятие проходит третий год подряд и не связано с внешними продуктами компании. Победители получили символические призы и упоминание во внутренней рассылке. Итоги хакатона не публиковались за пределами компании.;информационный шум
33;Сотрудники «Синтеза Групп» приняли участие в корпоративном забеге;Команда компании «Синтеза Групп» выступила на городском благотворительном забеге в честь начала лета, собрав небольшую сумму пожертвований для местного приюта для животных. Фотографии с мероприятия появились в корпоративных социальных сетях компании. Участие в забеге является ежегодной традицией для команды. Событие не имеет отношения к продуктам или бизнес-показателям компании.;информационный шум
34;облако таракан вторник алгоритм фиолетовый суп;чашка бежит квадратный вторник дождь алгоритм три пуговицы небо шкаф громко сервер варенье вторая пятница облако несёт стул мимо озера тихо квант жёлтый вторник пуговица бежит сервер дождь три чашки алгоритм.;информационный шум
35;пятница шкаф дождь три квадрат;сервер несёт бежит облако пуговица вторник алгоритм тихо квант жёлтый суп таракан фиолетовый громко озеро стул варенье мимо небо три чашки дождь вторник алгоритм пятница шкаф квадрат несёт бежит.;информационный шум
